station,file,records_15_min,first_timestamp_utc,last_timestamp_utc,valid_pm25_15_min,pm25_missing_pct,duplicate_station_timestamps
"Alipur, Delhi - DPCC",Alipur_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,67400,3.95713695370278,0
"Anand Vihar, Delhi - DPCC",Anand_Vihar_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,59551,15.141713096883594,0
"Ashok Vihar, Delhi - DPCC",Ashok_Vihar_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68594,2.2557248101229748,0
"Aya Nagar, Delhi - IMD",Aya_Nagar_IMD_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,66749,4.8847913133932765,0
"Bawana, Delhi - DPCC",Bawana_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68104,2.9539592744061443,0
"Burari Crossing, Delhi - IMD",Burari_Crossing_IMD_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,65373,6.845547686563974,0
"CRRI Mathura Road, Delhi - IMD",CRRI_Mathura_Road_IMD_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,61128,12.894538096527352,0
"Chandni Chowk, Delhi - IITM",Chandni_Chowk_IITM_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,37755,46.20032204283454,0
"DTU, Delhi - CPCB",DTU_CPCB_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,65115,7.21318950653348,0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Dr._Karni_Singh_Shooting_Range_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68232,2.771563332715847,0
"Dwarka-Sector 8, Delhi - DPCC ",Dwarka_Sector_8_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,69189,1.407868674921983,0
"IGI Airport (T3), Delhi - IMD",IGI_Airport_T3_IMD_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,64730,7.761802299898828,0
"IHBAS, Dilshad Garden, Delhi - CPCB",IHBAS_CPCB_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,62384,11.10477791869131,0
"ITO, Delhi - CPCB",ITO_CPCB_15_minute_AQI_Data_for_2024-25.csv,68985,2024-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,64899,5.923026744944553,0
"Jahangirpuri, Delhi - DPCC",Jahangirpuri_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,57564,17.97312509796657,0
"Jawaharlal Nehru Stadium, Delhi - DPCC",Jawaharlal_Nehru_Stadium_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,67755,3.451273209171096,0
"Lodhi Road, Delhi - IITM",Lodhi_Road_IITM_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,46589,33.61215212961511,0
"Lodhi Road, Delhi - IMD",Lodhi_Road_IMD_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,62625,10.761360559727546,0
"Major Dhyan Chand National Stadium, Delhi - DPCC",Major_Dhyan_Chand_National_Stadium_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,66811,4.79644327913704,0
"Mandir Marg, Delhi - DPCC",Mandir_Marg_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,58112,17.192242472604985,0
"Mundka, Delhi - DPCC",Mundka_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,67696,3.5353463385439676,0
"NSIT Dwarka, Delhi - CPCB",NSIT_Dwarka_CPCB_15_minute_AQI_Data_for_2024-25.csv,69024,2024-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,65460,5.163421418636996,0
"Najafgarh, Delhi - DPCC",Najafgarh_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,65123,7.201789760177836,0
"Narela, Delhi - DPCC",Narela_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68946,1.7541359704746569,0
"Nehru Nagar, Delhi - DPCC",Nehru_Nagar_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68713,2.0861535830827767,0
"North Campus, DU, Delhi - IMD",North_Campus_IMD_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,67605,3.665018453339413,0
"Okhla Phase-2, Delhi - DPCC",Okhla_Phase_2_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68410,2.5179189763027776,0
"Patparganj, Delhi - DPCC",Patparganj_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68625,2.211550792994856,0
"Punjabi Bagh, Delhi - DPCC",Punjabi_Bagh_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,66020,5.923593200051299,0
"Pusa, Delhi - DPCC",Pusa_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,67639,3.616569531327928,0
"Pusa, Delhi - IMD",Pusa_IMD_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,67157,4.303404249255454,0
"R K Puram, Delhi - DPCC",R_K_Puram_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,66030,5.909343517106745,0
"Rohini, Delhi - DPCC",Rohini_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,60695,13.511549368026563,0
"Shadipur, Delhi - CPCB",Shadipur_CPCB_15_minute_AQI_Data_for_2024-25.csv,67951,2024-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,64479,5.109564244823476,0
"Sirifort, Delhi - CPCB",Sirifort_CPCB_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,58056,17.27204069709449,0
"Sonia Vihar, Delhi - DPCC",Sonia_Vihar_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,66638,5.042962794077832,0
"Sri Aurobindo Marg, Delhi - DPCC",Sri_Aurobindo_Marg_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,66923,4.636846830158029,0
"Vivek Vihar, Delhi - DPCC",Vivek_Vihar_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,67017,4.502899810479217,0
"Wazirpur, Delhi - DPCC",Wazirpur_DPCC_15_minute_AQI_Data_for_2024-25.csv,70177,2024-01-01 00:00:00+00:00,2025-12-31 23:45:00+00:00,68047,3.035182467190105,0
